TS,SKT,CPU,PID,CMD,CID,CPU operating frequency (in GHz),CPU utilization %,CPU utilization% in kernel mode,CPI,kernel_CPI,IPC,giga_instructions_per_sec,locks retired per instr,L1D MPI (includes data+rfo w/ prefetches),L1D demand data read hits per instr,L1-I code read misses (w/ prefetches) per instr,L2 demand data read hits per instr,L2 MPI (includes code+data+rfo w/ prefetches),L2 demand data read MPI,L2 demand code MPI,LLC code read MPI (demand+prefetch),LLC data read MPI (demand+prefetch),LLC total HITM (per instr) (excludes LLC prefetches),LLC total HIT clean line forwards (per instr) (excludes LLC prefetches),Average LLC demand data read miss latency (in ns),Average LLC demand data read miss latency for LOCAL requests (in ns),Average LLC demand data read miss latency for REMOTE requests (in ns),UPI Data transmit BW (MB/sec) (only data),package power (watts),DRAM power (watts),core c6 residency %,package c6 residency %,% Uops delivered from decoded Icache (DSB),% Uops delivered from legacy decode pipeline (MITE),core initiated local dram read bandwidth (MB/sec),core initiated remote dram read bandwidth (MB/sec),memory bandwidth read (MB/sec),memory bandwidth write (MB/sec),memory bandwidth total (MB/sec),ITLB (2nd level) MPI,DTLB (2nd level) load MPI,DTLB (2nd level) 2MB large page load MPI,DTLB (2nd level) store MPI,NUMA %_Reads addressed to local DRAM,NUMA %_Reads addressed to remote DRAM,uncore frequency GHz,IO_bandwidth_disk_or_network_writes (MB/sec),IO_bandwidth_disk_or_network_reads (MB/sec),TMA_Frontend_Bound(%),TMA_..Fetch_Latency(%),TMA_....ICache_Misses(%),TMA_....ITLB_Misses(%),TMA_....Branch_Resteers(%),TMA_......Mispredicts_Resteers(%),TMA_......Clears_Resteers(%),TMA_......Unknown_Branches(%),TMA_..Fetch_Bandwidth(%),TMA_....MITE(%),TMA_....DSB(%),TMA_Bad_Speculation(%),TMA_..Branch_Mispredicts(%),TMA_..Machine_Clears(%),TMA_Backend_Bound(%),TMA_..Memory_Bound(%),TMA_....L1_Bound(%),TMA_......DTLB_Load(%),TMA_......Lock_Latency(%),TMA_....L2_Bound(%),TMA_....L3_Bound(%),TMA_......Data_Sharing(%),TMA_....DRAM_Bound(%),TMA_......MEM_Bandwidth(%),TMA_......MEM_Latency(%),TMA_....Store_Bound(%),TMA_......False_Sharing(%),TMA_..Core_Bound(%),TMA_....Ports_Utilization(%),TMA_......Ports_Utilized_0(%),TMA_........AMX_Busy(%),TMA_......Ports_Utilized_1(%),TMA_......Ports_Utilized_2(%),TMA_......Ports_Utilized_3m(%),TMA_Retiring(%),TMA_..Light_Operations(%),TMA_........FP_Vector_256b(%),TMA_........FP_Vector_512b(%),TMA_......Int_Vector_256b(%),TMA_..Heavy_Operations(%),TMA_....Microcode_Sequencer(%),TMA_Info_Thread_IPC,TMA_Info_System_SMT_2T_Utilization
1705366284,,,230276,stress-ng-cpu [run],,3.9024881,0.3515924,0.00036872539,0.45378942,1.8135358,2.2036653,7.7404581,2.3468123e-07,0.011535642,0.1136682,0.0013654326,0.011002488,0.00016083173,7.6662285e-06,3.3459219e-05,,,,,,,,,,,,,84.883786,14.084812,,,,,,2.6773449e-06,9.5048577e-07,4.614383e-08,1.4946231e-06,,,,,,13.378179,5.4452041,0.35478877,0.029354705,1.5932476,1.5738738,0.019456937,0,7.9329745,3.3958611,6.8490322,8.8341501,8.726272,0.1078781,37.72615,5.1564334,6.4682324,4.785286,5.7602411e-06,0.15814034,0.094386294,,0.02056775,0.062890502,0.22096388,1.1267626,,32.569717,40.12615,3.2641078,0,26.675474,20.319617,39.069023,40.061521,34.508439,0,0,0.012542213,5.5530822,0,2.2036653,0
1705366284,,,230273,stress-ng-cpu [run],,3.9025792,0.35158212,0.00041138586,0.45071288,1.8571519,2.2187074,7.793248,2.5311778e-07,0.011746026,0.11499161,0.0013216103,0.010794816,0.00016383247,8.6390405e-06,3.4853837e-05,,,,,,,,,,,,,84.904399,14.119196,,,,,,2.3454461e-06,8.2248142e-07,4.1682597e-08,1.502668e-06,,,,,,13.330095,5.8202134,0.34237559,0.037348459,1.5636344,1.5443778,0.019294898,0,7.5098814,3.3564408,6.8896766,8.8042925,8.6956522,0.10864034,38.339921,4.743083,6.6040705,4.6409284,6.0808036e-06,0.16797335,0.10509281,,0.012800304,0.055014684,0.21363266,1.0133686,,33.596838,39.630699,3.2464637,0,26.372186,20.21467,39.010359,39.525692,33.992095,0,0,0.012700463,5.5335968,0,2.2187074,0
1705366284,,,230275,stress-ng-cpu [run],,3.9025704,0.35159332,0.00041075494,0.4529907,1.9966435,2.2075508,7.7542901,2.3131583e-07,0.011611852,0.11398509,0.0013013772,0.010824756,0.00016955503,8.663548e-06,3.5100442e-05,,,,,,,,,,,,,84.637939,14.310776,,,,,,2.5240995e-06,7.4023016e-07,3.269188e-08,1.5579416e-06,,,,,,13.562764,5.3596386,0.34699057,0.026885313,1.5676558,1.47762,0.090016979,0,8.203125,3.3433337,6.7508735,8.7028614,8.203125,0.49973643,38.28125,5.078125,6.518939,4.7282978,5.6838071e-06,0.15739059,0.10683901,,0.014718942,0.078610703,0.24913317,1.0149134,,33.203125,39.754304,3.2416694,0,26.47184,20.3063,39.487021,39.453125,33.984375,0,0,0.012244858,5.46875,0,2.2075508,0
1705366284,,,230274,stress-ng-cpu [run],,3.9026424,0.35156946,0.0003644919,0.45292829,1.7912544,2.207855,7.7549753,2.1596092e-07,0.011582056,0.11482716,0.0013251588,0.010901046,0.00016471371,8.3650506e-06,3.5153617e-05,,,,,,,,,,,,,84.984516,14.040555,,,,,,2.1504117e-06,8.1234874e-07,3.8936724e-08,1.5078098e-06,,,,,,13.216805,5.7698147,0.35112755,0.033391708,1.6015748,1.5815305,0.020063092,0,7.4469902,3.3882106,6.9563046,8.7322189,8.6228307,0.10938812,38.856291,4.7033622,6.564472,5.0129958,5.6206325e-06,0.15792193,0.10300121,,0.011046434,0.067345294,0.24207099,1.0960104,,34.152929,39.568904,3.2551565,0,26.48763,20.165936,39.07873,39.194685,33.707429,0,0,0.01272501,5.4872559,0,2.207855,0
1705366284,,,230277,stress-ng-cpu [run],,3.9025715,0.35144629,0.00043692119,0.45255432,1.9562948,2.2096795,7.7585234,2.7012254e-07,0.011370438,0.11473006,0.0013364826,0.010797422,0.00015324253,7.1389757e-06,3.5507368e-05,,,,,,,,,,,,,85.396516,13.623647,,,,,,2.3311241e-06,7.6730647e-07,3.5820204e-08,1.5060239e-06,,,,,,13.516282,5.9008591,0.34641933,0.03163906,1.6530239,1.6324801,0.02060854,0,7.6154234,3.4191503,6.7289054,8.9291759,8.8178586,0.11131725,37.874178,5.2105528,6.6310557,4.5430333,6.6819537e-06,0.14385532,0.10037372,,0.010385055,0.052326201,0.22596369,1.0115094,,32.663625,39.774645,3.2975017,0,26.440196,20.288276,39.361034,39.680364,34.068999,0,0,0.012656534,5.6113646,0,2.2096795,0.00012677019
1705366289,,,230276,stress-ng-cpu [run],,3.9024825,0.35140992,0.00038285688,0.45319691,1.8386867,2.2065464,7.7465443,2.3530113e-07,0.012520979,0.11432529,0.0013499865,0.011532146,0.00016407543,7.7186856e-06,3.4052055e-05,,,,,,,,,,,,,85.062881,13.949165,,,,,,2.2748671e-06,9.0353836e-07,4.0383334e-08,1.4984696e-06,,,,,,13.32765,5.4225115,0.33760194,0.03677136,1.5843838,1.563431,0.020923618,0,7.9051383,3.4045791,6.836328,8.4114806,8.3003953,0.11108536,38.735178,4.743083,6.4967694,5.098721,5.8256153e-06,0.1562347,0.091081049,,0.021890038,0.061018219,0.23404507,1.0400069,,33.992095,39.679672,3.2316983,0,26.376992,20.171633,39.047603,39.525692,34.387352,0,0,0.012746714,5.1383399,0,2.2065464,0
1705366289,,,230275,stress-ng-cpu [run],,3.9025689,0.35141606,0.0004287155,0.45410981,1.8033802,2.2021106,7.7312776,2.3982499e-07,0.011536662,0.11388424,0.0013237874,0.010784549,0.00017699797,8.6104728e-06,3.5016206e-05,,,,,,,,,,,,,84.505043,14.50899,,,,,,1.5651451e-06,8.5910785e-07,4.1530993e-08,1.4975177e-06,,,,,,13.224495,5.7735145,0.35156339,0.027750683,1.5907857,1.5710221,0.019819016,0,7.4509804,3.4763493,6.6766804,8.7362894,8.627451,0.10883843,38.823529,4.7058823,6.5040984,4.7641549,5.8558385e-06,0.16195763,0.10702548,,0.017845281,0.071605042,0.24821459,1.0216345,,34.117647,39.72935,3.2665384,0,26.560113,20.193989,38.933574,39.215686,34.117647,0,0,0.012816737,5.0980392,0,2.2021106,2.5004667e-05
1705366289,,,230273,stress-ng-cpu [run],,3.9025808,0.35144654,0.00039083152,0.45272392,1.9452319,2.2088517,7.755641,2.5980517e-07,0.011566332,0.11339249,0.0013753752,0.010815967,0.00016075502,8.6804821e-06,3.4189409e-05,,,,,,,,,,,,,85.72014,13.212743,,,,,,2.6233224e-06,8.4485886e-07,4.1273849e-08,1.4984607e-06,,,,,,13.330848,5.8209669,0.36241641,0.036895597,1.5622007,1.5430824,0.019145002,0,7.5098814,3.4422225,6.7684487,8.803539,8.6956522,0.10788684,38.339921,4.743083,6.488459,4.8670409,6.2714837e-06,0.16069963,0.099066335,,0.014815134,0.054691091,0.22105579,1.0070819,,33.596838,39.925261,3.2293626,0,26.688661,20.29293,39.150266,39.525692,33.992095,0,0,0.012697539,5.5335968,0,2.2088517,0
1705366289,,,230274,stress-ng-cpu [run],,3.9026489,0.35141691,0.00037283734,0.45450709,1.7442551,2.2001857,7.7246967,2.2248445e-07,0.012398025,0.1151407,0.0013105888,0.010960458,0.00016484835,9.2873804e-06,3.432962e-05,,,,,,,,,,,,,84.906089,14.108981,,,,,,2.3641905e-06,7.296731e-07,3.4473355e-08,1.5057755e-06,,,,,,13.223476,5.7724952,0.33162466,0.032223419,1.5792948,1.5594987,0.019857894,0,7.4509804,3.4797218,6.9345885,8.7373087,8.627451,0.10985775,38.823529,4.7058824,6.5100803,4.5741271,6.0775439e-06,0.17188732,0.1103658,,0.011186556,0.065508032,0.25612327,1.0903976,,34.117647,39.507052,3.3453242,0,26.29597,20.197691,38.326067,39.215686,33.72549,0,0,0.012838078,5.4901961,0,2.2001857,0
1705366289,,,230277,stress-ng-cpu [run],,3.9025553,0.3514186,0.00044250674,0.45226112,2.1114986,2.211112,7.7629094,2.5997058e-07,0.011601928,0.11471716,0.0013051015,0.010879204,0.00015233051,6.7982125e-06,3.67043e-05,,,,,,,,,,,,,83.405608,15.611592,,,,,,2.1255023e-06,8.0555969e-07,3.8713228e-08,1.5156886e-06,,,,,,13.384651,5.8449688,0.36037021,0.04724538,1.6219825,1.6022545,0.019713466,0,7.5396825,3.3299676,6.8884185,8.8375709,8.7301587,0.1074122,38.492063,5.1587302,6.766863,4.4703499,6.3854944e-06,0.14963209,0.095149649,,0.011265941,0.052247082,0.21976221,0.98813622,,33.333333,39.565903,3.324122,0,26.426461,20.196614,39.171415,39.285714,33.730159,0,0,0.01279209,5.5555556,0,2.211112,0.00013869372
